Rank,Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Jannik Sinner,177.8,37.9%,56.2%,36.8%,46.9%
2,Carlos Alcaraz,176.1,38.5%,55.6%,37.0%,45.0%
3,Alex de Minaur,175.7,34.5%,54.1%,34.3%,52.8%
4,Flavio Cobolli,168.6,38.9%,53.4%,36.0%,40.3%
5,Alejandro Davidovich Fokina,167.8,35.7%,53.7%,34.3%,44.1%
6,Daniil Medvedev,166.9,37.6%,50.8%,32.0%,46.5%
7,Mariano Navone,166.7,35.9%,53.5%,32.4%,44.9%
8,Jiri Lehecka,165.0,35.6%,48.3%,30.4%,50.7%
9,Sebastian Baez,164.3,37.1%,51.6%,32.6%,43.0%
10,Marton Fucsovics,163.8,32.8%,59.1%,31.9%,40.0%
11,Alexander Zverev,162.5,35.0%,52.2%,29.3%,46.0%
12,Francisco Cerundolo,162.3,35.4%,53.2%,31.7%,42.0%
13,Grigor Dimitrov,161.2,34.7%,52.1%,27.7%,46.7%
14,Lorenzo Musetti,161.0,34.8%,53.2%,30.1%,42.9%
15,Karen Khachanov,159.5,30.7%,56.0%,28.6%,44.2%
16,Tommy Paul,159.4,32.1%,50.6%,27.9%,48.8%
17,Damir Dzumhur,158.9,37.2%,49.9%,29.3%,42.5%
18,Jacob Fearnley,157.3,34.7%,49.2%,31.3%,42.1%
19,Cameron Norrie,156.6,32.2%,52.0%,27.2%,45.2%
20,Roberto Bautista Agut,156.2,30.0%,50.8%,22.4%,53.0%
21,Brandon Nakashima,155.4,29.5%,54.9%,23.2%,47.8%
22,Valentin Vacherot,154.3,36.0%,52.9%,32.1%,33.3%
23,Jaume Munar,154.2,33.8%,49.9%,29.7%,40.8%
24,Laslo Djere,153.9,31.2%,51.7%,25.9%,45.1%
25,Jack Draper,153.8,33.2%,54.8%,29.7%,36.1%
26,Holger Rune,152.2,30.7%,51.9%,25.0%,44.6%
27,Vit Kopriva,152.0,31.3%,51.7%,26.7%,42.3%
28,Tomas Machac,151.2,29.5%,50.0%,24.1%,47.6%
29,Daniel Altmaier,150.4,28.5%,50.2%,22.9%,48.8%
30,Filip Misolic,150.0,30.9%,47.3%,23.2%,48.6%
31,Arthur Fils,149.4,32.6%,53.7%,25.5%,37.6%
32,Andrey Rublev,148.9,33.7%,50.8%,26.7%,37.7%
33,Casper Ruud,148.9,31.7%,52.7%,26.8%,37.7%
34,Novak Djokovic,148.2,31.5%,53.3%,24.8%,38.6%
35,Roberto Carballes Baena,146.8,27.2%,55.1%,24.5%,40.0%
36,Corentin Moutet,145.9,33.3%,47.9%,24.0%,40.7%
