Rank,Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won
1,Kamil Majchrzak,297.6,40.5%,57.1%,100.0%,100.0%
2,Reilly Opelka,290.4,36.7%,71.9%,81.8%,100.0%
3,Flavio Cobolli,280.7,36.4%,64.3%,80.0%,100.0%
4,Gabriel Diallo,277.7,47.3%,75.4%,80.0%,75.0%
5,Jack Draper,277.2,36.4%,74.1%,100.0%,66.7%
6,August Holmgren,265.9,31.3%,84.6%,50.0%,100.0%
7,Jakub Mensik,257.4,39.5%,67.9%,100.0%,50.0%
8,Marton Fucsovics,255.6,44.1%,61.5%,50.0%,100.0%
9,Carlos Alcaraz,255.1,45.4%,76.4%,33.3%,100.0%
10,Alexander Bublik,251.7,40.0%,70.0%,75.0%,66.7%
11,Arthur Cazaux,249.0,28.6%,70.4%,50.0%,100.0%
12,Taylor Fritz,248.0,47.6%,63.3%,53.8%,83.3%
13,Arthur Rinderknech,247.6,27.6%,70.0%,50.0%,100.0%
14,Jenson Brooksby,246.1,34.7%,61.4%,50.0%,100.0%
15,Karen Khachanov,240.5,40.0%,63.4%,57.1%,80.0%
16,Nicolas Jarry,239.4,30.4%,75.6%,66.7%,66.7%
17,Justin Engel,237.8,27.8%,60.0%,50.0%,100.0%
18,Jaume Munar,235.0,36.4%,48.6%,100.0%,50.0%
19,Stefanos Tsitsipas,232.1,25.0%,57.1%,50.0%,100.0%
20,Corentin Moutet,227.5,33.7%,68.8%,50.0%,75.0%
21,Alejandro Davidovich Fokina,227.4,34.4%,68.0%,75.0%,50.0%
22,Miomir Kecmanovic,226.5,36.4%,56.8%,100.0%,33.3%
23,Zizou Bergs,222.2,26.6%,68.9%,60.0%,66.7%
24,Daniil Medvedev,222.0,28.6%,68.4%,25.0%,100.0%
25,Ethan Quinn,220.6,60.0%,60.6%,100.0%,0.0%
26,Bernard Tomic,219.6,62.5%,57.1%,0.0%,100.0%
27,Jannik Sinner,216.3,42.1%,74.2%,100.0%,0.0%
28,Alex Michelsen,213.8,38.8%,58.3%,50.0%,66.7%
29,Jordan Thompson,213.3,23.7%,72.9%,50.0%,66.7%
30,Giovanni Mpetshi Perricard,212.7,36.4%,76.3%,66.7%,33.3%
31,Hamad Medjedovic,212.2,40.0%,72.2%,50.0%,50.0%
32,Tallon Griekspoor,212.1,32.1%,80.0%,100.0%,0.0%
33,Alexander Zverev,210.0,27.7%,76.3%,72.7%,33.3%
34,Roberto Bautista Agut,209.0,33.8%,58.5%,16.7%,100.0%
35,Jiri Lehecka,208.7,38.2%,53.8%,66.7%,50.0%
36,Nuno Borges,208.1,40.4%,67.7%,66.7%,33.3%
37,Holger Rune,207.5,50.0%,74.2%,50.0%,33.3%
38,Benjamin Bonzi,207.1,42.1%,65.0%,100.0%,0.0%
39,Brandon Nakashima,206.4,28.0%,73.9%,54.5%,50.0%
40,Shintaro Mochizuki,206.2,42.9%,63.3%,50.0%,50.0%
41,Grigor Dimitrov,205.6,48.5%,57.1%,100.0%,0.0%
42,Pedro Martinez,203.4,42.1%,61.3%,100.0%,0.0%
43,Jan-Lennard Struff,201.7,35.0%,66.7%,100.0%,0.0%
44,Cameron Norrie,200.5,33.3%,67.2%,50.0%,50.0%
45,Daniel Evans,199.5,43.9%,55.6%,0.0%,100.0%
46,Lorenzo Sonego,197.9,42.3%,66.7%,55.6%,33.3%
47,Felix Auger-Aliassime,196.5,36.2%,65.3%,20.0%,75.0%
48,Alex de Minaur,195.0,34.4%,60.6%,100.0%,0.0%
49,Daniel Altmaier,193.8,31.3%,62.5%,0.0%,100.0%
50,Fabian Marozsan,192.7,33.3%,59.4%,0.0%,100.0%
51,Tomas Machac,190.2,45.7%,54.5%,40.0%,50.0%
52,Brandon Holt,186.8,50.0%,36.8%,0.0%,100.0%
53,Tomas Martin Etcheverry,181.6,40.5%,66.1%,25.0%,50.0%
54,Aleksandar Kovacevic,181.1,20.0%,61.1%,100.0%,0.0%
55,Alexei Popyrin,176.6,34.5%,68.8%,40.0%,33.3%
56,Andrey Rublev,173.8,39.5%,71.8%,62.5%,0.0%
57,James Duckworth,171.4,26.7%,69.7%,50.0%,25.0%
