Rank,Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Novak Djokovic,166.6,35.7%,56.9%,34.0%,40.0%
2,Ethan Quinn,159.7,33.7%,42.5%,23.5%,60.0%
3,Grigor Dimitrov,156.4,32.5%,50.0%,25.4%,48.5%
4,Bernard Tomic,156.0,29.6%,43.1%,20.8%,62.5%
5,Mariano Navone,155.0,32.4%,52.6%,25.0%,45.0%
6,Jannik Sinner,154.9,29.5%,56.9%,26.4%,42.1%
7,Alex de Minaur,150.2,29.7%,57.7%,28.4%,34.4%
8,Jacob Fearnley,148.9,25.2%,54.1%,21.1%,48.5%
9,Marcos Giron,148.8,27.5%,55.9%,22.5%,42.9%
10,Carlos Alcaraz,147.8,30.1%,49.7%,22.6%,45.4%
11,Gael Monfils,147.1,29.5%,50.6%,21.3%,45.7%
12,Jenson Brooksby,146.6,31.3%,55.1%,25.5%,34.7%
13,Pedro Martinez,145.9,26.6%,53.7%,23.5%,42.1%
14,Kamil Majchrzak,145.3,26.2%,55.9%,22.7%,40.5%
15,Shintaro Mochizuki,143.7,30.0%,46.8%,24.0%,42.9%
16,Daniel Evans,143.2,25.8%,50.4%,23.1%,43.9%
17,Tomas Machac,142.3,26.0%,49.8%,20.8%,45.7%
18,Tommy Paul,141.6,26.6%,48.6%,22.4%,44.0%
19,Taylor Fritz,141.1,25.0%,51.0%,17.5%,47.6%
20,Billy Harris,141.1,26.9%,47.5%,20.0%,46.7%
21,Mark Lajal,141.0,28.0%,50.7%,23.8%,38.5%
22,Denis Shapovalov,140.5,27.2%,46.3%,20.6%,46.4%
23,Ugo Humbert,140.3,30.9%,47.0%,22.4%,40.0%
24,Tomas Martin Etcheverry,138.9,22.6%,54.0%,21.8%,40.5%
25,Alejandro Davidovich Fokina,138.4,29.8%,53.4%,20.8%,34.4%
26,Karen Khachanov,137.8,26.1%,50.8%,20.9%,40.0%
27,Nuno Borges,137.0,29.4%,48.0%,19.2%,40.4%
28,Brandon Holt,137.0,23.8%,47.8%,15.4%,50.0%
29,Marton Fucsovics,136.3,25.7%,50.7%,15.8%,44.1%
30,Mackenzie McDonald,134.6,23.8%,48.5%,17.9%,44.4%
31,Gabriel Diallo,134.0,26.2%,43.4%,17.1%,47.3%
32,Corentin Moutet,133.8,30.8%,48.0%,21.3%,33.7%
33,Holger Rune,133.7,23.8%,43.8%,16.1%,50.0%
34,Marin Cilic,133.4,25.4%,51.8%,19.4%,36.8%
35,Jaume Munar,133.4,28.8%,50.6%,17.6%,36.4%
36,Jakub Mensik,133.2,28.7%,47.8%,17.2%,39.5%
37,Nikoloz Basilashvili,133.0,30.3%,37.6%,18.4%,46.7%
38,Rinky Hijikata,131.4,29.7%,46.2%,22.2%,33.3%
