Rank,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match
1,Taylor Fritz,312.6,65.3%,81.1%,60.5%,92.3%,15.3,1.9
2,Nicolas Jarry,309.7,66.7%,79.1%,55.5%,91.1%,22.5,5.2
3,Brandon Nakashima,309.2,70.3%,76.3%,60.1%,92.1%,11.6,1.2
4,Alexander Zverev,308.5,76.3%,77.5%,53.0%,92.6%,10.8,1.7
5,Cristian Garin,307.6,70.4%,73.3%,64.9%,92.5%,8.0,1.5
6,Jannik Sinner,304.5,63.6%,80.2%,60.3%,93.5%,8.7,1.8
7,Lloyd Harris,301.1,64.4%,74.4%,51.9%,88.4%,24.0,2.0
8,Grigor Dimitrov,299.9,60.5%,82.1%,54.9%,90.9%,16.5,5.0
9,Gabriel Diallo,299.3,67.5%,76.8%,55.0%,90.9%,11.3,2.2
10,Lorenzo Sonego,299.3,72.1%,73.9%,58.4%,89.6%,7.0,1.7
11,Giovanni Mpetshi Perricard,299.2,66.6%,80.7%,47.6%,87.3%,23.5,6.5
12,Ben Shelton,298.9,62.8%,78.2%,55.2%,93.6%,13.3,4.2
13,August Holmgren,298.8,58.7%,83.0%,51.1%,93.4%,20.3,7.7
14,Jack Draper,298.3,64.3%,81.1%,51.5%,91.4%,12.3,2.3
15,Alexander Bublik,297.7,63.8%,79.5%,53.4%,89.5%,16.2,4.7
16,Jiri Lehecka,297.7,61.6%,80.7%,56.7%,90.4%,10.6,2.3
17,Joao Fonseca,297.1,70.8%,74.3%,55.3%,91.3%,7.7,2.3
18,Carlos Alcaraz,296.6,61.6%,78.9%,56.5%,91.4%,12.5,4.3
19,Valentin Royer,296.1,64.8%,70.9%,59.4%,93.5%,10.0,2.5
20,Felix Auger-Aliassime,294.7,63.4%,80.0%,53.4%,87.7%,13.7,3.5
21,Marin Cilic,294.5,61.2%,75.3%,54.8%,88.9%,16.3,2.0
22,Novak Djokovic,294.2,69.5%,77.9%,50.3%,85.4%,13.3,2.2
23,Reilly Opelka,294.0,61.8%,78.5%,52.9%,88.0%,16.2,3.4
24,Andrey Rublev,294.0,61.1%,80.7%,55.5%,89.5%,11.5,4.3
25,Arthur Rinderknech,293.5,63.6%,77.6%,53.9%,90.1%,12.4,4.1
26,Daniil Medvedev,293.4,64.5%,78.3%,50.9%,94.0%,10.3,4.6
27,Roberto Bautista Agut,292.5,73.2%,72.2%,57.8%,86.3%,3.8,0.8
28,Tomas Machac,288.8,63.7%,73.6%,58.3%,87.2%,9.2,3.2
29,Hamad Medjedovic,286.9,63.7%,73.4%,56.2%,88.6%,8.8,3.8
30,Nuno Borges,286.7,69.4%,73.7%,52.8%,83.3%,9.0,1.5
31,Karen Khachanov,286.3,63.2%,74.1%,57.3%,85.2%,8.7,2.2
32,Jordan Thompson,285.7,59.8%,74.4%,55.0%,87.5%,10.9,1.9
33,Adrian Mannarino,284.0,60.6%,74.9%,56.1%,86.8%,6.8,1.2
34,Roman Safiullin,283.7,60.2%,74.2%,57.0%,83.8%,12.8,4.3
35,Pierre-Hugues Herbert,283.6,46.3%,82.1%,58.5%,94.7%,7.5,5.5
36,Justin Engel,282.7,57.7%,82.7%,49.6%,87.0%,8.5,2.8
37,Quentin Halys,281.9,59.4%,81.6%,49.7%,84.5%,11.0,4.3
38,Cameron Norrie,281.6,68.7%,71.4%,52.7%,84.2%,8.0,3.4
39,Alejandro Davidovich Fokina,281.5,66.8%,70.9%,57.6%,84.5%,4.7,3.0
40,Adam Walton,280.9,61.3%,68.1%,59.4%,86.1%,9.0,3.0
41,Benjamin Bonzi,280.8,68.7%,68.2%,55.8%,82.5%,6.8,1.2
42,Tallon Griekspoor,280.1,62.6%,75.3%,50.3%,89.5%,5.8,3.4
43,Kamil Majchrzak,280.1,63.4%,70.1%,58.7%,82.6%,6.3,1.0
44,James Duckworth,279.6,60.4%,71.0%,55.8%,85.9%,10.3,3.8
45,Luciano Darderi,279.5,64.7%,71.4%,55.2%,84.2%,7.0,3.0
46,Mark Lajal,279.3,66.2%,74.0%,47.1%,90.5%,4.5,3.0
47,Flavio Cobolli,279.1,61.0%,72.7%,55.3%,85.5%,7.4,2.8
48,Holger Rune,278.1,59.2%,79.1%,49.7%,87.1%,8.5,5.5
49,Jakub Mensik,278.0,60.6%,75.3%,47.7%,83.0%,15.7,4.3
50,Mattia Bellucci,277.8,56.1%,77.5%,55.7%,84.5%,8.5,4.5
51,Alex Michelsen,277.1,65.3%,72.3%,53.3%,82.9%,6.3,3.0
52,Jesper de Jong,276.5,55.2%,74.7%,53.1%,85.3%,15.5,7.3
53,Marton Fucsovics,275.3,60.9%,76.8%,49.2%,84.2%,8.0,3.8
54,Billy Harris,274.1,68.9%,66.3%,53.0%,81.9%,5.5,1.5
55,Ugo Humbert,274.1,62.1%,72.9%,55.3%,81.5%,5.4,3.1
56,Tommy Paul,273.2,56.4%,76.1%,53.7%,83.3%,6.7,3.0
57,Miomir Kecmanovic,272.4,66.7%,71.1%,51.7%,80.5%,5.6,3.2
58,Arthur Cazaux,272.0,64.0%,77.3%,38.2%,81.0%,17.5,6.0
59,Corentin Moutet,272.0,63.1%,72.8%,51.1%,84.1%,4.3,3.4
60,Jan-Lennard Struff,271.8,55.8%,76.4%,51.3%,83.3%,10.2,5.2
61,Mackenzie McDonald,271.5,69.1%,69.3%,50.4%,80.9%,3.8,2.0
62,Stefanos Tsitsipas,271.3,56.0%,72.5%,56.3%,82.9%,8.3,4.7
63,Alex Bolt,270.5,66.1%,71.6%,50.0%,80.8%,5.5,3.5
64,Sebastian Ofner,268.9,50.9%,76.0%,54.5%,83.0%,8.3,3.8
65,Aleksandar Kovacevic,268.1,58.4%,74.6%,51.7%,79.4%,6.0,2.0
66,Alex de Minaur,268.0,54.2%,72.0%,58.2%,82.4%,3.8,2.6
67,Fabian Marozsan,267.6,68.3%,67.5%,51.6%,79.0%,3.8,2.6
68,Yannick Hanfmann,267.5,66.4%,65.9%,56.5%,76.2%,3.5,1.0
69,Marcos Giron,267.4,63.8%,68.7%,53.2%,79.0%,4.5,1.8
70,Ethan Quinn,267.3,64.5%,69.0%,53.8%,75.0%,8.5,3.5
71,Oliver Tarvet,267.0,60.6%,72.3%,52.5%,78.6%,4.0,1.0
72,Nikoloz Basilashvili,266.6,52.9%,78.1%,50.0%,82.1%,10.0,6.5
73,Jaume Munar,266.4,62.7%,73.4%,49.8%,80.0%,5.7,5.2
74,Botic van de Zandschulp,265.9,64.3%,71.7%,47.8%,80.6%,6.5,5.0
75,Alexei Popyrin,265.7,60.3%,71.5%,47.8%,77.3%,13.3,4.5
76,Learner Tien,265.7,59.7%,72.9%,50.2%,81.5%,6.1,4.7
77,Laslo Djere,265.2,58.6%,74.8%,48.9%,80.3%,6.6,4.0
78,Yoshihito Nishioka,264.8,61.6%,71.3%,52.4%,80.0%,1.5,2.0
79,Matteo Arnaldi,264.5,52.7%,74.5%,51.6%,85.2%,5.5,5.0
80,Jenson Brooksby,263.8,63.0%,68.0%,54.1%,77.3%,3.3,1.9
81,Rinky Hijikata,263.4,59.8%,67.3%,57.5%,76.8%,4.0,2.0
82,Gael Monfils,262.4,60.2%,71.7%,46.6%,79.7%,12.5,8.3
83,Tomas Martin Etcheverry,261.6,62.6%,70.6%,48.6%,74.3%,7.5,2.0
84,Mariano Navone,261.1,60.6%,71.3%,52.4%,77.8%,3.0,4.0
85,Arthur Fery,260.4,58.6%,62.0%,58.2%,78.1%,6.0,2.5
86,Shintaro Mochizuki,260.2,56.1%,72.6%,52.9%,77.1%,5.5,4.0
87,Aleksandar Vukic,259.9,56.4%,72.2%,49.0%,76.7%,8.0,2.4
88,Frances Tiafoe,259.2,51.6%,74.5%,47.8%,77.3%,11.7,3.7
89,George Loffhagen,258.1,59.0%,73.4%,44.2%,73.5%,13.5,5.5
90,Yunchaokete Bu,257.0,62.9%,68.7%,43.0%,77.4%,9.0,4.0
91,Francisco Cerundolo,256.3,65.1%,69.6%,45.9%,72.7%,5.5,2.5
92,Lorenzo Musetti,255.4,58.9%,61.9%,61.4%,72.2%,6.0,5.0
93,Bernard Tomic,254.4,54.6%,74.0%,46.9%,73.9%,7.5,2.5
94,Zizou Bergs,253.6,53.6%,71.9%,49.7%,78.9%,7.6,8.1
95,Daniel Altmaier,253.4,60.1%,68.8%,47.0%,74.5%,6.3,3.3
96,Brandon Holt,251.9,64.8%,68.5%,44.4%,69.2%,6.3,1.3
97,Jacob Fearnley,251.5,65.4%,69.4%,45.3%,74.0%,4.0,6.6
98,Daniel Evans,251.3,57.3%,68.3%,50.0%,74.3%,4.2,2.8
99,Chun-Hsin Tseng,250.9,59.6%,69.2%,44.4%,76.7%,7.5,6.5
100,Damir Dzumhur,247.4,56.2%,66.4%,53.7%,71.4%,3.7,4.0
101,Jack Pinnington Jones,245.6,61.1%,69.7%,43.2%,73.3%,6.0,7.7
102,Alexandre Muller,245.4,64.0%,65.3%,43.8%,70.0%,6.3,4.0
103,Camilo Ugo Carabelli,243.5,52.6%,61.8%,54.2%,74.3%,4.3,3.7
104,Denis Shapovalov,243.1,57.4%,65.7%,48.5%,73.0%,6.5,8.0
105,Francisco Comesana,241.0,64.0%,65.5%,43.5%,68.0%,7.0,7.0
106,Nishesh Basavareddy,232.7,57.5%,65.9%,45.1%,65.6%,2.3,3.7
107,Pedro Martinez,232.7,67.6%,61.5%,43.8%,63.6%,0.2,4.0
108,Christopher O'Connell,228.3,58.1%,66.7%,40.9%,61.3%,3.0,1.7
109,Sebastian Baez,217.1,66.7%,59.5%,42.9%,50.0%,1.0,3.0
