Rank,Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Jannik Sinner,171.2,32.8%,59.4%,33.4%,45.6%
2,Carlos Alcaraz,165.2,34.6%,54.6%,32.1%,43.9%
3,Denis Shapovalov,162.1,32.8%,52.3%,28.6%,48.4%
4,Tommy Paul,158.9,31.9%,55.8%,28.5%,42.7%
5,Alex de Minaur,156.8,31.6%,53.8%,28.2%,43.2%
6,Alejandro Davidovich Fokina,153.9,29.4%,52.8%,26.1%,45.6%
7,Novak Djokovic,152.7,30.1%,52.0%,25.2%,45.4%
8,Learner Tien,151.8,28.1%,55.1%,24.7%,43.9%
9,Francisco Cerundolo,151.6,30.8%,52.4%,24.6%,43.8%
10,Jaume Munar,150.7,30.2%,52.5%,25.6%,42.4%
11,Corentin Moutet,150.7,33.8%,49.9%,26.5%,40.5%
12,Daniil Medvedev,148.3,32.8%,53.5%,26.1%,35.9%
13,Jack Draper,147.9,30.3%,50.9%,23.8%,42.9%
14,Lorenzo Musetti,145.9,28.2%,54.9%,24.1%,38.7%
15,Tomas Machac,143.8,27.1%,49.4%,21.8%,45.5%
16,Sebastian Baez,143.6,27.2%,48.9%,22.0%,45.5%
17,Miomir Kecmanovic,142.4,26.5%,53.3%,22.0%,40.6%
18,Zizou Bergs,142.1,28.1%,51.4%,21.8%,40.8%
19,Holger Rune,142.0,29.4%,49.6%,22.0%,41.0%
20,Botic van de Zandschulp,141.8,29.5%,49.9%,20.5%,41.9%
21,Arthur Fils,141.7,27.8%,51.1%,20.3%,42.5%
22,Casper Ruud,141.5,27.9%,49.5%,19.8%,44.3%
23,Adrian Mannarino,139.2,26.5%,50.1%,21.3%,41.3%
24,Camilo Ugo Carabelli,138.5,28.0%,49.6%,18.6%,42.3%
25,Taylor Fritz,138.4,26.5%,51.7%,19.3%,40.9%
26,Alexander Zverev,137.1,27.9%,50.1%,20.4%,38.7%
27,Tomas Martin Etcheverry,135.9,27.1%,49.5%,20.3%,39.0%
28,Adam Walton,135.8,25.1%,50.5%,20.0%,40.2%
29,Karen Khachanov,135.7,26.5%,51.8%,19.9%,37.5%
30,Valentin Vacherot,135.7,28.8%,51.8%,21.2%,33.9%
31,Alex Michelsen,135.5,29.5%,50.1%,20.9%,35.0%
32,David Goffin,135.1,28.2%,49.9%,21.6%,35.4%
33,Ugo Humbert,134.9,24.5%,49.4%,19.3%,41.7%
34,Joao Fonseca,134.3,27.4%,49.1%,20.8%,37.0%
35,Cameron Norrie,133.5,25.9%,51.2%,19.4%,37.0%
36,Hamad Medjedovic,133.0,26.1%,48.5%,17.7%,40.7%
37,Marcos Giron,132.7,28.1%,50.0%,19.1%,35.5%
38,Jakub Mensik,132.7,28.2%,48.4%,18.7%,37.4%
39,Frances Tiafoe,132.1,26.1%,48.5%,19.6%,37.9%
40,Benjamin Bonzi,131.8,25.8%,51.1%,18.8%,36.1%
41,Jiri Lehecka,131.6,25.9%,49.4%,17.9%,38.4%
42,Ben Shelton,131.0,25.9%,48.1%,17.6%,39.4%
43,Stefanos Tsitsipas,130.9,27.3%,49.5%,18.8%,35.3%
44,Sebastian Korda,130.7,26.7%,49.4%,18.4%,36.2%
45,Christopher O'Connell,130.6,27.9%,46.4%,19.4%,36.9%
46,Nuno Borges,130.1,27.2%,49.6%,18.1%,35.2%
47,Felix Auger-Aliassime,129.9,29.7%,48.9%,18.7%,32.6%
48,Luciano Darderi,129.8,23.9%,47.1%,15.6%,43.2%
49,Fabian Marozsan,129.3,25.7%,50.6%,18.1%,34.9%
50,Aleksandar Vukic,128.8,26.6%,44.8%,17.4%,40.0%
51,Gael Monfils,127.8,27.5%,46.8%,17.1%,36.4%
52,Alexandre Muller,127.5,26.1%,47.8%,16.9%,36.7%
53,Andrey Rublev,127.5,27.6%,48.1%,17.5%,34.3%
54,Yunchaokete Bu,126.1,24.1%,50.6%,17.2%,34.2%
55,Flavio Cobolli,125.2,26.1%,47.4%,17.6%,34.1%
56,Arthur Rinderknech,124.6,24.0%,44.8%,14.7%,41.1%
57,Gabriel Diallo,124.4,25.9%,46.6%,16.5%,35.4%
58,Brandon Nakashima,124.4,26.8%,45.8%,16.0%,35.8%
59,Matteo Berrettini,124.3,26.2%,45.2%,14.9%,38.0%
60,Lorenzo Sonego,124.1,25.9%,44.7%,16.1%,37.4%
61,Alexander Bublik,124.0,24.9%,44.7%,15.5%,38.9%
62,Jan-Lennard Struff,123.8,25.3%,52.0%,16.3%,30.2%
63,Matteo Arnaldi,122.6,27.9%,46.8%,16.4%,31.5%
64,Aleksandar Kovacevic,119.4,24.0%,47.2%,15.5%,32.7%
65,Daniel Altmaier,119.0,22.8%,47.4%,15.1%,33.7%
66,Grigor Dimitrov,118.5,26.3%,47.3%,15.3%,29.6%
67,Quentin Halys,114.2,23.9%,44.8%,13.1%,32.4%
68,Tallon Griekspoor,110.9,22.1%,44.9%,12.2%,31.7%
69,Alexei Popyrin,108.4,26.2%,45.0%,12.7%,24.5%
70,Reilly Opelka,102.7,20.1%,42.1%,7.9%,32.6%
71,Giovanni Mpetshi Perricard,96.6,20.2%,35.7%,7.4%,33.3%
