Rank,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match
1,Giovanni Mpetshi Perricard,303.9,66.8%,80.5%,54.4%,91.6%,14.6,4.0
2,Reilly Opelka,300.9,63.3%,80.9%,52.1%,91.0%,17.5,3.9
3,Jannik Sinner,297.9,59.8%,80.4%,59.9%,92.6%,6.7,1.5
4,Matteo Berrettini,297.8,68.4%,76.0%,55.3%,88.3%,11.3,1.5
5,Alexander Zverev,297.8,71.6%,75.1%,55.1%,89.5%,8.4,1.9
6,Novak Djokovic,294.4,66.4%,76.5%,56.1%,89.3%,8.4,2.3
7,Taylor Fritz,293.5,63.8%,79.4%,52.9%,88.7%,10.7,2.0
8,Ben Shelton,292.8,65.1%,75.9%,55.4%,89.5%,9.5,2.6
9,Valentin Vacherot,291.2,66.2%,75.2%,55.2%,89.1%,8.0,2.5
10,Felix Auger-Aliassime,289.8,68.3%,76.3%,51.3%,86.2%,11.0,3.3
11,Carlos Alcaraz,287.6,64.0%,76.0%,56.4%,87.8%,6.0,2.6
12,Brandon Nakashima,287.6,65.4%,75.4%,52.9%,86.1%,8.9,1.1
13,Hamad Medjedovic,286.8,66.5%,75.0%,53.2%,85.5%,9.3,2.7
14,Casper Ruud,285.3,67.5%,74.0%,53.3%,85.7%,6.7,1.9
15,Jiri Lehecka,283.9,61.3%,77.5%,53.1%,86.5%,7.9,2.4
16,Jack Draper,283.5,62.1%,75.0%,54.5%,84.7%,9.9,2.7
17,Ugo Humbert,283.4,61.8%,76.3%,53.8%,85.8%,7.9,2.2
18,Tallon Griekspoor,282.8,65.6%,75.2%,49.9%,85.5%,10.0,3.4
19,Joao Fonseca,282.1,65.5%,73.6%,54.7%,83.2%,7.0,1.9
20,Jakub Mensik,281.6,59.4%,78.8%,48.4%,85.2%,13.9,4.1
21,Karen Khachanov,281.4,62.8%,76.9%,51.3%,84.8%,8.1,2.5
22,Grigor Dimitrov,281.0,61.6%,77.8%,52.8%,84.8%,6.9,2.9
23,Stefanos Tsitsipas,280.8,60.0%,77.9%,52.9%,85.3%,7.9,3.2
24,Lorenzo Musetti,280.4,63.8%,73.9%,55.4%,84.2%,5.4,2.3
25,Arthur Rinderknech,280.4,63.6%,74.3%,50.6%,85.2%,10.0,3.3
26,Fabian Marozsan,279.0,65.7%,72.2%,52.9%,84.4%,6.1,2.3
27,Gael Monfils,278.8,60.1%,78.1%,51.3%,85.1%,9.6,5.4
28,Lorenzo Sonego,278.8,65.2%,73.4%,51.4%,84.3%,7.0,2.5
29,Sebastian Korda,278.4,60.0%,75.3%,51.1%,84.5%,10.3,2.8
30,Andrey Rublev,276.7,60.7%,76.6%,50.6%,83.7%,8.2,3.1
31,Tomas Martin Etcheverry,276.4,64.7%,72.6%,50.6%,81.9%,8.3,1.7
32,Alexander Bublik,275.9,60.5%,79.4%,45.2%,84.4%,12.3,5.9
33,Aleksandar Kovacevic,275.8,59.9%,76.1%,49.8%,84.4%,8.9,3.3
34,Holger Rune,275.8,62.6%,73.3%,53.5%,83.1%,6.1,2.8
35,Tomas Machac,275.2,61.7%,73.5%,53.6%,83.2%,6.5,3.3
36,Quentin Halys,274.8,59.5%,76.9%,48.4%,82.4%,11.9,4.3
37,Daniil Medvedev,274.7,61.3%,76.8%,49.7%,82.8%,8.7,4.6
38,Alex de Minaur,274.6,56.3%,73.9%,57.3%,85.2%,4.3,2.4
39,Tommy Paul,273.8,59.3%,73.7%,53.2%,83.0%,7.2,2.6
40,Jaume Munar,273.6,64.5%,72.2%,53.3%,81.6%,4.4,2.4
41,Gabriel Diallo,273.3,67.3%,73.6%,46.1%,80.7%,8.7,3.1
42,Arthur Fils,272.4,61.5%,74.7%,50.9%,81.4%,7.0,3.1
43,Alexei Popyrin,271.1,61.5%,74.8%,47.7%,80.5%,9.9,3.3
44,Benjamin Bonzi,270.5,62.5%,71.9%,52.1%,80.4%,6.0,2.4
45,Nuno Borges,270.3,66.2%,70.3%,50.5%,80.2%,5.8,2.7
46,Cameron Norrie,269.7,65.4%,69.6%,51.7%,79.8%,5.6,2.4
47,Frances Tiafoe,269.5,56.2%,75.3%,51.0%,80.5%,9.8,3.3
48,Yunchaokete Bu,269.3,57.6%,73.9%,50.8%,81.9%,6.9,1.8
